imdb_title_identifier,domestic_gross,international_gross,worldwide_gross,name
tt0078718,33300000,0,33300000,And Justice for All
tt0078721,74865517,0,74865517,10
tt0078723,31755742,60700000,92455742,1941
tt0078736,7500000,0,7500000,Agatha
tt0078740,13015688,0,13015688,The Concorde... Airport '79
tt0078748,80931801,24000000,104931801,Alien
tt0078754,37823676,0,37823676,All That Jazz
tt0078757,85493,0,85493,An Almost Perfect Affair
tt0078766,6171763,0,6171763,Americathon
tt0078767,86432000,0,86432000,The Amityville Horror
tt0078788,83471511,7916979,91388490,Apocalypse Now Redux
tt0078790,20931111,0,20931111,The Apple Dumpling Gang Rides Again
tt0078841,30177511,0,30177511,Being There
tt0078869,35841901,0,35841901,The Black Hole
tt0078872,37799643,0,37799643,The Black Stallion
tt0078879,8218695,0,8218695,Bloodline
tt0078902,16424918,0,16424918,Breaking Away
tt0078919,5136913,0,5136913,Butch and Sundance: The Early Days
tt0078950,30441738,0,30441738,The Champ
tt0078966,51718367,0,51718367,The China Syndrome
tt0078976,784181,0,784181,City on Fire
tt0079010,78736,0,78736,Christ Stopped at Eboli
tt0079013,5610280,0,5610280,Cuba
tt0079073,20158970,0,20158970,Dracula
tt0079100,61801971,0,61801971,The Electric Horseman
tt0079116,43000000,0,43000000,Escape from Alcatraz
tt0079137,444334,0,444334,Fast Charlie... the Moonbeam Rider
tt0079154,8281246,0,8281246,The Fish That Saved Pittsburgh
tt0079180,9346177,0,9346177,The Frisco Kid
tt0079182,11891,0,11891,Vengeance Is Mine
tt0079219,26869286,0,26869286,Going in Style
tt0079225,1247376,0,1247376,Goldengirl
tt0079239,4702575,0,4702575,The Great Santini
tt0079240,13027857,0,13027857,The Great Train Robbery
tt0079261,15284643,0,15284643,Hair
tt0079268,3000000,0,3000000,Hanover Street
tt0079285,9000000,0,9000000,Saturn 3
tt0079302,89134,0,89134,Home Movies
tt0079367,73691419,0,73691419,The Jerk
tt0079417,106260000,0,106260000,Kramer vs. Kramer
tt0079437,1537125,0,1537125,Last Embrace
tt0079450,11364985,0,11364985,The Legacy
tt0079470,20206622,508248,20714870,Monty Python's Life of Brian
tt0079486,3223197,0,3223197,Lost and Found
tt0079489,43885000,0,43885000,Love at First Bite
tt0079501,8750000,0,8750000,Mad Max
tt0079510,42800000,0,42800000,The Main Event
tt0079520,683353,0,683353,"A Man, a Woman and a Bank"
tt0079522,39946780,86213,40032993,Manhattan
tt0079540,43046003,0,43046003,Meatballs
tt0079550,8400000,0,8400000,Meteor
tt0079574,70308099,140000000,210308099,Moonraker
tt0079576,15014674,0,15014674,More American Graffiti
tt0079588,65810475,0,65810475,The Muppet Movie
tt0079638,22228000,0,22228000,Norma Rae
tt0079640,26079312,0,26079312,North Dallas Forty
tt0079668,9890597,0,9890597,The Onion Field
tt0079672,23488,0,23488,Opening Night
tt0079700,1101186,0,1101186,The Passage
tt0079714,11988469,0,11988469,Phantasm
tt0079723,4896094,0,4896094,Players
tt0079753,7650600,0,7650600,The Prisoner of Zenda
tt0079756,11606005,0,11606005,The Promise
tt0079758,18389402,0,18389402,Prophecy
tt0079781,364642,0,364642,Real Life
tt0079806,1856122,0,1856122,Rich Kids
tt0079817,85182160,0,85182160,Rocky II
tt0079820,27513,0,27513,The King and the Mockingbird
tt0079822,13253715,0,13253715,Roller Boogie
